Cog,CommunicationState,Latitude,Longitude,MessageID,NavigationalStatus,PositionAccuracy,Raim,RateOfTurn,RepeatIndicator,Sog,Spare,SpecialManoeuvreIndicator,Timestamp,TrueHeading,UserID,Valid
221.5,59916,24.709705,54.48974666666666,1,3,"true","false",13,0,0.4,2,0,7,149,253810000,"true"
309.2,59916,52.38401666666667,4.9273299999999995,1,0,"true","true",-128,0,0,0,0,9,511,244750693,"true"
360,59916,53.57851,-0.06363,3,5,"true","true",0,0,0,0,1,7,177,235004740,"true"
0,59916,51.44772,3.71625,1,0,"true","true",-128,0,0,0,0,8,511,205522990,"true"
166.9,59916,34.977465,138.56369333333333,1,0,"true","false",0,0,11.5,0,0,5,170,477439900,"true"
4.7,59916,52.405255000000004,4.817518333333334,1,0,"true","true",-128,0,0,0,0,7,511,244650902,"true"
0,59916,37.96382333333334,23.556288333333335,1,0,"true","false",-128,0,0,0,0,8,511,237453600,"true"
360,59916,36.73889,28.942896666666666,1,10,"true","true",-128,0,0,0,0,8,511,271047408,"true"
233,59916,37.850045,-9.003665000000002,1,0,"true","false",-11,0,6.6,0,0,8,235,477194200,"true"
123,59916,40.49024333333333,-74.25407333333332,1,12,"true","false",0,0,0.7,0,0,8,307,367029690,"true"
143.8,59916,53.650645000000004,9.510471666666666,1,0,"false","false",-127,0,5.1,0,0,9,150,211334410,"true"
246.9,59916,59.315286666666665,18.110206666666667,1,0,"false","false",10,0,0.2,0,0,8,164,265828550,"true"
252.5,59916,53.54343666666667,9.915189999999999,3,5,"false","true",-128,0,0,0,0,9,511,211357210,"true"
321.4,59916,57.27141166666667,16.481514999999998,3,0,"true","false",0,0,0.1,0,0,7,62,265585610,"true"
0.1,59916,44.41762000000001,8.839993333333332,1,15,"false","true",0,0,0,4,0,7,281,518100219,"true"
302,59916,51.943650000000005,4.19005,3,0,"true","false",0,0,11,0,0,7,302,246063000,"true"
0,59916,22.569051666666667,120.317765,1,15,"false","true",-128,0,0,0,0,7,511,416005220,"true"
314.6,59916,29.704040000000003,-95.01704166666667,3,5,"true","false",127,0,6.6,0,0,9,322,367488490,"true"
6.7,59916,33.678778333333334,-118.12001166666667,3,1,"true","false",0,0,0,0,0,9,279,368295000,"true"
18.7,59916,20.919373333333333,106.620515,1,0,"false","true",0,0,0,0,0,7,78,574014406,"true"
120.5,59916,1.27798,103.75439333333334,1,0,"false","false",0,0,0,0,0,7,120,563069230,"true"
217.7,59916,53.53012833333333,8.576243333333334,3,5,"false","false",0,0,0,0,0,8,192,211333700,"true"
173.4,59916,54.597456666666666,-5.362941666666667,1,0,"false","false",-5,0,7.7,0,0,6,172,244066000,"true"
360,59916,53.50709333333334,9.949991666666667,1,0,"true","true",-128,0,0,0,0,8,511,211781030,"true"
47,59916,53.52861666666667,10.051266666666667,3,5,"true","false",0,0,0,0,0,8,270,211589990,"true"
206.5,59916,60.16741833333333,24.980051666666668,3,1,"false","false",0,0,0,0,0,8,221,230112370,"true"
155.8,59916,49.390721666666664,1.0115533333333333,3,5,"true","false",0,0,0,0,0,7,184,563025800,"true"
339.4,59916,49.627565,-0.44007166666666664,1,0,"true","false",0,0,19.5,0,0,5,340,227273000,"true"
229.2,59916,59.49052166666667,24.507333333333335,3,0,"false","false",0,0,0.1,0,0,7,138,276306000,"true"
179.6,59916,-33.82434333333334,151.2757566666667,1,15,"false","false",-127,0,21.5,0,0,6,176,503046120,"true"
162.7,59916,51.493026666666665,-0.12236833333333334,3,15,"true","false",-17,0,0,0,0,7,511,232042335,"true"
360,59916,50.97167833333333,6.987608333333333,3,5,"true","true",-128,0,0,0,0,8,511,211876990,"true"
167.9,59916,70.44068,22.20461,3,0,"false","false",127,0,12.3,0,0,8,169,257127000,"true"
50,59916,40.65024166666667,-74.05907166666665,1,0,"true","false",0,0,14.4,0,0,8,47,367000120,"true"
0,59916,51.78707333333333,4.6443,3,0,"false","true",-128,0,0,0,1,8,511,244660488,"true"
360,59916,52.45914166666667,4.559983333333333,3,5,"true","true",-128,0,0,0,0,8,511,244660151,"true"
360,59916,52.33765833333334,4.908313333333334,3,1,"true","true",-128,0,0,0,0,8,511,244180545,"true"
196.8,59916,57.139829999999996,-2.0837033333333332,3,5,"false","false",0,0,0,0,0,7,269,258366000,"true"
0,59916,36.86663166666666,-76.31784833333333,3,5,"false","false",0,0,0,0,0,7,227,366231000,"true"
