Cog,CommunicationState,Latitude,Longitude,MessageID,NavigationalStatus,PositionAccuracy,Raim,RateOfTurn,RepeatIndicator,Sog,Spare,SpecialManoeuvreIndicator,Timestamp,TrueHeading,UserID,Valid
18.9,59916,55.69654166666667,21.129628333333336,3,5,"false","false",0,0,0,0,0,9,55,246667000,"true"
120.4,59916,20.921893333333333,106.61465166666667,1,0,"true","true",-128,0,0,0,0,7,511,574014096,"true"
157.8,59916,43.73601,9.382814999999999,1,0,"false","false",0,0,18.2,0,0,4,160,247443100,"true"
265.2,59916,51.65547166666667,-5.302605,1,0,"false","false",0,0,5.7,0,0,9,268,233098000,"true"
360,59916,37.8219,-122.311355,1,0,"true","true",0,0,0,0,0,5,292,367330510,"true"
0,59916,1.43279,103.920925,3,8,"false","false",-128,0,0,0,0,7,511,677049100,"true"
53.6,59916,44.163019999999996,28.656865,1,5,"false","false",-1,0,8.7,0,0,7,7,352001760,"true"
0,59916,52.65994166666667,5.601355,3,5,"true","true",-128,0,0,0,0,8,511,244041000,"true"
213.2,59916,51.30703333333334,4.328410000000001,1,0,"true","true",-128,0,0,0,0,8,511,244670984,"true"
304.5,59916,51.802080000000004,4.615796666666666,1,0,"true","true",-128,0,5.4,0,1,8,511,227097460,"true"
8.4,59916,43.077729999999995,131.88607166666668,3,1,"true","false",0,0,0,0,0,8,128,351135000,"true"
63.9,59916,51.902155,5.547925,3,0,"true","true",-128,0,0,0,1,2,511,244670909,"true"
33,59916,52.368051666666666,4.899021666666667,1,0,"true","true",-128,0,4,0,0,8,511,244780353,"true"
323.8,59916,51.86236666666667,5.948440000000001,1,0,"true","false",0,0,8.7,0,1,7,329,244670320,"true"
304,59916,54.54422666666667,11.422688333333333,3,0,"true","false",0,0,11.5,0,0,6,303,265413000,"true"
256.1,59916,63.44174666666667,10.406581666666666,3,5,"false","false",0,0,0,0,0,9,195,259112000,"true"
249,59916,43.574,10.317666666666666,3,5,"true","false",-2,0,0,0,0,7,291,247149100,"true"
178.7,59916,-35.668865,174.96441000000002,1,0,"false","false",0,0,14,0,0,6,177,563060800,"true"
359.1,59916,63.007398333333335,20.430966666666666,1,0,"false","false",0,0,11,0,0,8,2,244562000,"true"
223.7,59916,35.08991666666667,140.3875833333333,3,0,"false","false",127,0,12.5,0,0,7,229,431014903,"true"
277.6,59916,49.69146666666666,-0.65296,1,7,"false","false",-128,0,3.2,0,0,8,511,227430000,"true"
274.7,59916,53.17496666666667,5.438518333333334,3,15,"false","true",-128,0,0,0,0,9,511,245873000,"true"
15.7,59916,29.913905,-90.079425,1,12,"true","false",0,0,0,0,0,9,246,367763490,"true"
257,59916,54.31861833333333,10.144986666666666,3,5,"true","false",0,0,0,0,0,7,43,211889690,"true"
114.9,59916,45.325651666666666,14.428768333333332,1,7,"true","true",-128,0,0,0,0,8,511,238361240,"true"
261.8,59916,44.09368833333333,9.865771666666665,3,5,"false","false",0,0,0,0,0,6,72,247247247,"true"
84.5,59916,52.430703333333334,4.75319,1,0,"false","false",0,0,0,0,0,6,227,249005000,"true"
140,59916,42.20319166666666,-8.879015,3,1,"false","false",0,0,0.1,0,0,7,95,255805844,"true"
274.3,59916,35.401955,139.73206333333334,3,0,"false","false",-127,0,0.4,0,0,7,201,431010513,"true"
356.6,59916,1.24324,103.82243333333332,1,0,"true","true",127,0,1.5,0,0,8,344,563070820,"true"
278.6,59916,36.06464666666667,-4.511043333333333,1,2,"false","false",-5,0,0.3,0,0,6,182,242178400,"true"
147.7,59916,51.55894833333333,3.9707466666666664,1,0,"true","true",0,0,9.1,0,0,8,148,244700340,"true"
360,59916,22.58533,120.30242666666666,1,0,"false","true",-128,0,0,0,0,8,511,416004796,"true"
129.2,59916,-34.98802833333333,-56.206199999999995,1,3,"false","false",127,0,7.5,0,0,8,127,770576466,"true"
199,59916,-25.725688333333334,153.61691166666665,1,0,"false","false",0,3,13.4,0,0,3,200,538009918,"true"
161.8,59916,32.73498166666666,-16.734438333333333,1,7,"true","true",-128,0,0,0,0,6,511,204264000,"true"
360,59916,57.50646833333334,-1.7737716666666665,1,7,"true","true",0,0,0,0,0,8,26,234124000,"true"
350.3,59916,29.922731666666667,-89.97496666666666,1,0,"true","false",0,0,0,0,0,9,284,367719730,"true"
360,59916,53.21805666666667,6.582991666666667,1,15,"true","true",-128,0,0,0,1,57,511,244313949,"true"
299.6,59916,25.772155,-80.14191000000001,3,5,"false","false",0,0,0,0,0,9,328,538071937,"true"
220.6,59916,29.639556666666667,-91.11410166666666,1,11,"false","false",0,0,0,0,0,7,3,303029000,"true"
360,59916,51.960425,4.01114,3,0,"true","true",-128,0,0,0,0,8,511,244186115,"true"
360,59916,44.417699999999996,8.797563333333333,1,0,"true","false",-128,0,0,0,0,8,511,256003619,"true"
360,59916,63.45742666666667,9.080015,1,0,"true","true",-128,0,0.1,0,0,8,511,257964800,"true"
30.8,59916,68.91849666666667,17.006365,1,0,"false","false",-8,0,9.8,0,0,9,32,219730000,"true"
360,59916,51.14591166666666,5.879495,3,5,"true","true",-128,0,0,0,0,8,511,244038316,"true"
331.3,59916,53.864583333333336,8.704716666666666,1,0,"false","false",-128,0,0,0,0,8,511,246189000,"true"
360,59916,51.65159333333334,4.098691666666666,3,3,"false","false",-128,0,0,0,0,8,511,244100331,"true"
78.4,59916,50.28371166666667,-2.7611633333333336,3,0,"false","false",0,0,12.2,0,0,6,78,255806016,"true"
360,59916,24.538456666666665,118.37913499999999,3,1,"false","true",-128,0,0.1,0,0,7,93,413454010,"true"
360,59916,51.11918,4.310381666666667,3,15,"true","true",-128,0,0,0,0,8,511,205371690,"true"
47.2,59916,44.16579166666667,28.6511,3,5,"true","false",0,0,0,0,0,9,277,229922000,"true"
347.8,59916,44.10193,28.65504,3,5,"true","false",0,0,0,0,0,6,182,538006061,"true"
5.6,59916,58.489916666666666,18.021816666666666,1,0,"true","false",13,0,11.2,0,0,6,8,311000787,"true"
39.3,59916,52.40788833333333,4.881073333333333,3,5,"false","false",0,0,0,0,3,9,37,257728000,"true"
166.7,59916,44.09627,28.643655000000003,3,5,"true","false",0,0,0,0,0,8,245,304444000,"true"
91.9,59916,30.05905,-93.59184,1,0,"true","false",0,0,0,0,0,7,75,366990020,"true"
85,59916,-33.84038666666667,151.15254666666667,1,0,"true","true",127,0,25.7,0,0,8,90,503106730,"true"
94.5,59916,66.732665,13.333826666666665,1,0,"true","false",-3,0,0,0,0,8,110,257112130,"true"
98,59916,51.89771666666666,3.422433333333333,3,1,"false","false",0,0,0,0,0,6,228,538008110,"true"
254.9,59916,55.81328333333333,16.55604,3,0,"true","true",0,0,10.8,0,0,7,255,319301000,"true"
360,59916,59.60762,5.311025,1,0,"false","true",-128,0,0,0,0,7,511,257130650,"true"
360,59916,51.22812833333333,3.22266,3,5,"false","false",-128,0,0,0,0,8,511,244810711,"true"
280.4,59916,52.65798666666667,5.600575,3,0,"true","true",-128,0,0,0,0,9,511,244770588,"true"
195.7,59916,51.881445,4.266195,3,5,"true","true",-128,0,0,0,1,54,511,244690815,"true"
187.7,59916,62.70016,7.094446666666667,1,0,"false","false",0,0,14,0,0,8,184,258007760,"true"
1.9,59916,63.638373333333334,8.801538333333333,1,0,"true","false",0,0,0,0,0,1,328,259535000,"true"
173.4,59916,70.349975,20.941455,1,0,"false","false",127,0,0.4,0,0,9,247,259374000,"true"
142.9,59916,36.999451666666666,-7.844465,3,1,"true","false",-31,0,0.9,0,0,8,86,538071955,"true"
32.6,59916,70.36413333333333,31.02885,1,0,"true","false",0,0,0,0,0,63,201,259537000,"true"
214.4,59916,61.91648333333333,5.176918333333333,3,5,"false","false",0,0,0,0,0,8,259,259019500,"true"
133.7,59916,69.50902166666667,17.908376666666665,1,7,"false","false",0,0,0,0,0,45,17,258526000,"true"
52.6,59916,60.01888333333333,5.0910166666666665,1,0,"true","false",0,0,0.7,0,0,9,244,258077000,"true"
33.5,59916,71.04265333333333,25.893179999999997,3,5,"true","false",0,0,0,0,0,59,37,276826000,"true"
26.2,59916,61.91365333333333,5.723701666666667,1,0,"false","false",0,0,0,0,0,7,47,257387700,"true"
129.6,59916,34.513349999999996,135.40488333333332,1,0,"false","false",0,0,0,0,0,9,206,431005149,"true"
39.8,59916,54.975155,11.012094999999999,3,0,"false","false",-127,0,10.2,0,0,7,38,218856000,"true"
360,59916,52.437014999999995,4.75218,1,0,"true","true",-128,0,0,0,0,9,511,244060797,"true"
13,59916,55.20883333333334,11.097833333333334,1,4,"true","false",-11,0,11.8,0,0,4,9,636022406,"true"
104,59916,13.631499999999999,100.5375,3,5,"false","false",-128,0,0.3,0,0,9,511,357020000,"true"
0,59916,52.30672166666667,5.025056666666667,1,0,"false","false",-128,0,0,0,0,9,511,244690103,"true"
301.1,59916,48.50122666666667,-122.60356833333334,1,0,"false","true",-128,0,0,0,0,9,511,368113590,"true"
253.8,59916,51.371093333333334,6.681135,1,0,"true","true",-128,0,6.3,0,2,8,511,211822470,"true"
62.9,59916,56.04479,12.687885,3,0,"true","false",-127,0,0,0,0,4,65,265610940,"true"
229.3,59916,53.907151666666664,9.169115,1,0,"true","true",-2,0,6.8,0,0,8,230,209207000,"true"
360,59916,10.264523333333333,-75.51786999999999,1,15,"true","true",-128,0,0,0,0,8,511,730990006,"true"
215.5,59916,10.626023333333334,-75.66549833333333,1,0,"false","false",-5,0,11.6,0,0,7,215,564050000,"true"
75,59916,59.790033333333334,25.043046666666665,1,0,"true","false",0,0,5.8,0,0,6,79,241689000,"true"
59.1,59916,35.90486666666666,14.516255,1,0,"false","false",6,0,9.9,0,0,6,51,256001241,"true"
153.4,59916,50.91095666666667,6.975971666666666,1,0,"true","true",-128,0,5.3,0,0,8,511,211665570,"true"
12.3,59916,43.106631666666665,131.90296333333333,1,7,"true","true",-128,0,0,0,0,8,511,273852400,"true"
172.6,59916,40.76224,28.96223666666667,1,0,"false","false",-3,0,0,0,0,7,159,273354040,"true"
72,59916,50.72706166666667,1.58819,1,7,"true","false",0,0,0,0,0,8,150,244810000,"true"
360,59916,-7.20907,112.725965,1,8,"false","false",-128,0,0,0,0,8,511,525200036,"true"
69,59916,51.902,3.2478333333333333,1,0,"true","false",0,0,15.1,0,0,8,72,244309000,"true"
0,59916,53.173246666666664,5.414575,1,15,"true","true",-128,0,0,0,0,9,511,244586000,"true"
107.2,59916,36.98665333333334,126.75173333333333,3,5,"false","false",0,0,0,0,0,9,292,667001619,"true"
297.4,59916,52.847775,5.674801666666666,1,0,"false","true",-128,0,0,0,0,9,511,244191144,"true"
186.9,59916,24.511965,54.366080000000004,1,15,"false","false",-128,0,0,0,0,9,511,470022000,"true"
343,59916,51.803999999999995,4.634216666666666,1,0,"false","false",0,0,0.8,0,1,7,330,245207000,"true"
171.3,59916,50.88299333333334,-1.393685,1,0,"true","false",0,0,0,0,0,6,270,235025323,"true"
360,59916,53.35666833333333,5.2154066666666665,1,15,"true","false",0,0,0,0,0,9,166,246164000,"true"
304,59916,51.46933166666667,0.25262166666666663,3,5,"true","false",0,0,0.1,0,0,7,124,249594000,"true"
200.4,59916,28.086701666666666,-15.016079999999999,1,0,"false","false",-3,0,16.3,0,0,4,201,563155000,"true"
360,59916,43.12015333333333,132.33602833333333,1,8,"false","false",-128,0,0,0,0,9,511,273333470,"true"
325.8,59916,48.06303833333333,17.16761,1,0,"true","true",-128,0,8.9,0,1,7,511,211708520,"true"
116.6,59916,59.456538333333334,24.704596666666664,3,5,"true","false",0,0,0,0,0,6,32,230015000,"true"
94,59916,35.077016666666665,129.08688333333333,3,5,"true","false",0,0,0,0,0,7,30,440956000,"true"
138,59916,44.11920333333333,15.225095000000001,3,5,"true","false",-1,0,0,0,0,52,125,248718000,"true"
233.5,59916,56.120066666666666,16.63335,1,0,"true","false",0,0,13.2,0,0,6,237,245237000,"true"
360,59916,54.503346666666665,11.228698333333334,1,0,"true","true",-128,0,0,2,0,8,511,211188000,"true"
42,59916,51.279333333333334,4.372,3,5,"false","false",-128,0,0,0,1,5,511,205450690,"true"
79.2,59916,51.816874999999996,5.046283333333333,1,0,"true","true",-128,0,8.2,0,1,8,511,244690618,"true"
258.6,59916,59.330405000000006,18.079038333333333,1,0,"false","false",0,0,0,0,0,10,224,265649350,"true"
226.3,59916,56.05265833333333,-2.9240066666666666,3,1,"false","false",0,0,0.1,0,0,10,247,564652000,"true"
0,59916,51.241575,4.4488216666666665,1,0,"true","true",-128,0,0,0,0,9,511,244780245,"true"
68.9,59916,51.255743333333335,4.361988333333333,3,5,"true","false",0,0,0,0,0,7,271,258152000,"true"
309.6,59916,45.61799166666666,-122.78759666666666,1,12,"false","false",0,1,0,0,0,9,169,367047270,"true"
32,59916,36.87985166666667,-76.350705,3,8,"false","false",0,0,0,0,0,60,323,368235760,"true"
205.8,59916,44.087271666666666,15.268471666666667,3,5,"true","false",-128,0,0,0,0,8,85,238491440,"true"
156,59916,63.05163666666667,7.440683333333333,1,0,"false","false",0,0,0,0,0,9,202,257289320,"true"
360,59916,51.78337666666666,5.089928333333333,1,15,"true","true",-128,0,0,0,0,8,511,244123456,"true"
360,59916,53.5257,10.003283333333334,1,0,"true","false",0,0,0,0,1,9,260,211701890,"true"
5.8,59916,44.13003166666667,28.651805000000003,1,0,"true","true",-128,0,2.5,0,0,9,511,264163180,"true"
92.8,59916,70.34442833333333,20.96717,1,0,"false","false",-127,0,0.2,0,0,7,229,258019000,"true"
360,59916,51.5018,4.1892249999999995,3,5,"true","true",-128,0,0,0,0,9,511,244437965,"true"
135.7,59916,69.97713333333333,23.328178333333334,3,5,"true","true",0,0,0,0,0,9,131,259039000,"true"
161.4,59916,62.671211666666665,7.313571666666666,1,0,"true","false",-128,0,5.8,0,0,7,511,257707600,"true"
316.2,59916,34.66758333333333,33.07223333333334,1,1,"false","false",3,0,0,0,0,8,232,247274900,"true"
184.2,59916,59.83459666666667,5.724538333333333,3,5,"false","false",0,0,0,0,0,7,338,257377400,"true"
233.1,59916,69.14119333333333,15.681748333333333,1,7,"false","false",-128,0,0,0,0,6,511,257309220,"true"
360,59916,63.495711666666665,8.020715000000001,1,15,"true","true",-128,0,0,0,0,8,511,257840800,"true"
114.8,59916,61.913266666666665,5.177933333333333,3,0,"false","false",127,0,3.9,0,0,9,120,257791290,"true"
328.8,59916,58.73457666666666,5.282041666666667,3,0,"true","false",0,0,12.3,0,0,8,337,314415000,"true"
74,59916,52.465045,4.430138333333333,1,0,"true","false",-127,0,19.5,0,0,8,73,244780375,"true"
47.1,59916,45.625461666666666,-73.498125,1,0,"true","false",-128,0,0,0,0,8,511,316008255,"true"
360,59916,44.157248333333335,28.65738,3,0,"false","false",-128,0,0,0,0,9,511,264900262,"true"
1.1,59916,38.03432833333333,23.504115000000002,1,0,"false","false",0,0,0,0,0,9,181,310834000,"true"
261.2,59916,32.349916666666665,-90.95513333333334,1,12,"false","false",-128,0,0,0,0,10,511,367398930,"true"
173.1,59916,35.50603666666667,139.7664883333333,1,0,"false","false",0,0,0,0,0,10,266,431005675,"true"
340.4,59916,22.560241666666666,120.31467500000001,1,15,"true","true",-128,0,8.1,0,0,4,511,416001858,"true"
176.1,59916,48.568585,-122.75690833333333,1,0,"false","false",0,0,11.9,0,0,7,170,303233000,"true"
360,59916,51.24729,4.409361666666666,1,15,"true","true",-128,0,0,0,0,8,511,205285590,"true"
360,59916,37.928601666666665,23.683941666666666,3,5,"false","false",-128,0,0,0,0,9,511,240986000,"true"
255.1,59916,50.58133333333333,0.5233716666666667,1,0,"true","true",0,0,10.7,0,0,8,255,355267000,"true"
98.8,59916,55.98082333333333,-3.179686666666667,3,5,"false","false",0,0,0,0,0,9,226,339785000,"true"
287.7,59916,57.07971833333333,-1.7740316666666667,1,0,"false","false",-127,0,4,0,0,8,297,246476000,"true"
339.5,59916,51.74302,3.8902366666666666,3,0,"true","true",-128,0,0,0,0,9,511,244730326,"true"
160.8,59916,53.21876333333333,6.597506666666666,1,0,"false","false",-128,0,3,0,0,8,511,244620938,"true"
155.3,59916,43.104749999999996,131.92668333333333,3,1,"true","true",-128,0,0,0,0,6,511,273215420,"true"
360,59916,49.16860833333333,-123.93242333333333,1,0,"false","false",-128,0,0,0,0,9,511,316033071,"true"
236.3,59916,47.054085,-122.90605333333333,3,5,"true","false",0,0,0,0,0,3,353,577332000,"true"
0,59916,49.170245,-122.92414833333333,1,0,"false","false",-128,0,0,0,0,8,511,316005717,"true"
314.9,59916,59.18105333333333,6.061366666666667,3,0,"true","false",-127,0,21.1,0,0,8,295,258003760,"true"
147.5,59916,29.577851666666668,-94.93125333333334,1,12,"true","false",0,0,7.6,0,0,8,146,366834350,"true"
360,59916,24.555416666666666,118.45173,1,0,"false","true",-128,0,0.1,0,0,59,511,413364440,"true"
360,59916,52.637805,5.063655,1,0,"false","false",-128,0,0,0,0,9,511,244770425,"true"
197,59916,48.591495,-122.66075500000001,1,0,"false","false",0,0,11,0,0,10,185,303668000,"true"
346.8,59916,-19.584383333333335,118.37048666666666,1,0,"false","false",-4,0,11.1,0,0,59,348,352001989,"true"
248.6,59916,-19.808036666666666,118.38924999999999,3,1,"false","false",0,0,0.4,0,0,1,333,538010764,"true"
170,59916,59.88653166666666,4.905643333333333,1,7,"false","false",0,0,14.5,0,0,8,173,219030452,"true"
360,59916,41.378431666666664,2.18669,3,5,"true","true",0,0,0,0,0,8,256,319242700,"true"
0,59916,51.21883666666667,6.750241666666667,1,0,"true","true",-128,0,0,0,1,9,511,211524640,"true"
253.5,59916,55.78727,10.754936666666667,3,1,"false","false",0,0,0,0,0,0,173,246541000,"true"
202,59916,35.35438666666666,139.84511833333332,1,0,"true","true",0,0,0,0,0,10,148,431005964,"true"
223.1,59916,52.52255666666667,5.4350033333333325,1,15,"true","true",-128,0,0,0,0,10,511,244058386,"true"
185.6,59916,-20.576014999999998,117.20239,3,5,"false","false",0,0,0,0,0,7,47,432952000,"true"
44.6,59916,49.24243333333333,8.398213333333334,1,0,"true","false",0,0,8.9,0,1,9,45,244820290,"true"
74.5,59916,59.81911,25.31994166666667,1,0,"true","false",0,0,11.1,0,0,7,78,636012196,"true"
318,59916,29.780736666666666,-92.19241000000001,1,12,"true","false",0,0,0,0,0,10,259,368075150,"true"
337.4,59916,53.358021666666666,7.204135,3,5,"true","false",0,0,0,0,0,8,346,211363350,"true"
233.6,59916,-20.575276666666664,117.18460166666667,1,0,"false","false",0,0,4.2,0,0,9,232,503596400,"true"
241,59916,1.2624666666666668,103.6817,1,8,"true","false",0,0,0,0,0,8,314,525003103,"true"
270.3,59916,57.69099333333334,11.881203333333334,1,0,"false","false",0,0,0,0,0,7,221,229668000,"true"
297,59916,59.40622166666667,18.888546666666667,1,0,"true","false",0,0,0,0,0,9,260,265650800,"true"
74.3,59916,34.60559,135.30416499999998,1,0,"true","false",0,0,7.8,0,0,10,71,431400609,"true"
59.2,59916,52.61526833333333,5.847681666666667,3,0,"true","true",-128,0,0,0,1,9,511,244660938,"true"
200.1,59916,-33.857058333333335,151.21231,3,0,"false","false",0,0,8,0,0,7,197,503058420,"true"
360,59916,51.87614166666666,5.99523,1,0,"true","true",-128,0,0.8,0,1,9,511,244180626,"true"
58,59916,48.95415,-4.225316666666667,1,7,"false","false",-128,0,4.3,0,0,10,511,227573960,"true"
254,59916,37.95508333333333,23.549860000000002,1,0,"false","false",-128,0,0,0,0,9,511,241296000,"true"
360,59916,51.82125333333333,4.039091666666667,1,0,"true","true",-128,0,0,0,0,9,511,244001719,"true"
288.2,59916,51.88004166666666,4.271848333333334,3,5,"false","false",0,0,0,0,1,9,71,244170753,"true"
211.3,59916,47.56286166666666,-52.706561666666666,1,0,"true","false",0,0,0.1,0,0,8,215,316013940,"true"
272.8,59916,51.44520833333333,3.58914,1,0,"false","false",0,0,0,0,0,10,193,245148000,"true"
263.7,59916,49.48479666666666,0.15376833333333334,3,5,"true","false",0,0,0,0,0,10,66,226007480,"true"
360,59916,43.10466333333333,131.918215,1,6,"true","true",-1,0,0,0,0,9,6,273435010,"true"
158.1,59916,38.19024666666667,-0.5591183333333334,1,0,"true","true",-128,0,0.1,0,0,8,511,224222000,"true"
173,59916,10.298263333333333,-75.52105833333333,3,5,"false","false",0,0,0,0,0,9,138,636091917,"true"
139.9,59916,51.466591666666666,0.3198233333333333,3,0,"false","false",-127,0,9.2,0,0,12,153,244007000,"true"
272.4,59916,1.16492,103.99712833333334,1,8,"false","true",-128,0,0,0,0,10,511,525005032,"true"
218,59916,20.862816666666667,106.72571666666666,3,5,"false","false",-128,0,0,0,0,8,134,574409000,"true"
124.7,59916,32.73542166666667,-16.734936666666666,1,15,"true","true",-128,0,0.1,0,0,7,511,204858000,"true"
360,59916,52.430150000000005,13.12127,1,0,"true","true",-128,0,0,0,0,9,511,211786870,"true"
115.6,59916,37.938388333333336,23.668268333333334,3,5,"false","false",0,0,0,0,0,8,297,319003600,"true"
300.7,59916,52.38332166666667,4.928306666666667,1,0,"true","true",-128,0,0,0,0,10,511,244750692,"true"
42.4,59916,29.720685,-91.21508333333333,1,15,"false","false",-128,0,4.3,0,0,8,511,366841020,"true"
186.3,59916,55.665018333333336,21.149046666666667,2,15,"false","false",-128,0,0,0,0,8,511,277314000,"true"
360,59916,-38.04864,-57.538241666666664,1,7,"false","false",0,0,102.3,0,0,7,265,701006028,"true"
186.4,59916,53.17042166666667,5.411689999999999,1,0,"true","false",0,0,0,0,0,9,313,244035000,"true"
360,59916,51.37184666666667,6.6993566666666675,1,0,"true","false",0,0,0,0,1,9,259,211476060,"true"
360,59916,-78.013715,-88.50761333333334,1,0,"false","false",-128,0,102.3,0,0,34,511,257110000,"true"
109.8,59916,42.98345333333334,-82.41337166666668,1,0,"true","false",0,0,0.8,0,0,9,296,316206000,"true"
360,59916,25.933183333333332,-80.14030666666666,1,15,"false","false",10,0,0.2,0,0,9,285,338320514,"true"
262.6,59916,36.897131666666674,27.288843333333332,1,5,"true","false",0,0,0,0,0,8,23,375117000,"true"
25.7,59916,47.273435,-122.40789666666666,3,5,"false","false",0,0,0,0,0,10,133,477307900,"true"
26.4,59916,52.53532833333334,5.435833333333333,1,0,"true","false",0,0,0,0,0,10,23,244010437,"true"
92.6,59916,33.73501666666667,-118.271025,3,15,"false","false",-128,0,0,0,0,8,511,367492920,"true"
181.6,59916,60.41569666666667,5.01569,3,5,"false","false",-128,0,0.1,0,0,8,511,565090000,"true"
287,59916,7.793951666666667,76.97930333333333,1,0,"true","false",0,0,14.5,0,0,10,286,219069000,"true"
264,59916,29.92461666666667,-89.93567833333333,1,0,"false","true",-128,0,0,0,0,8,511,368289350,"true"
14.9,59916,59.281933333333335,18.9323,1,0,"true","false",127,0,8.4,0,0,4,21,265033430,"true"
219.2,59916,54.52391,18.55376,3,1,"false","false",-128,0,0,0,0,8,511,620999020,"true"
241,59916,53.70139166666667,7.704571666666666,1,0,"false","false",0,0,0,0,0,9,26,211227610,"true"
360,59916,45.325309999999995,14.429881666666667,1,0,"true","true",-128,0,0,0,0,8,511,238622240,"true"
63,59916,51.23121666666667,2.9346,1,15,"false","false",0,0,0,0,0,10,137,205258000,"true"
34.7,59916,44.58728,14.955225,1,0,"true","false",-128,0,9.8,0,0,1,511,238238340,"true"
257.3,59916,40.84115166666666,14.268241666666666,1,0,"false","false",-128,0,0.1,0,0,9,511,247171200,"true"
233.9,59916,57.71749,10.589748333333334,3,5,"false","false",0,0,0,0,0,8,230,265057410,"true"
